Address,OwnedAcres,Property,PropertyID,SubArea,UnownedAcres,YearAcquired,Zip,_id__id,amenities_0,amenities_1,loc_lon,loc_lat,amenities_2,amenities_3,amenities_4,amenities_5,amenities_6,amenities_7,amenities_8,amenities_9,amenities_10,col_22,amenities_11,amenities_12,amenities_13,amenities_14,amenities_15,amenities_16,amenities_17,amenities_18,amenities_19,_created_at,_updated_at
N Lombard St & Woolsey Ave,35.37,Columbia Park,17,N,0,1891,97203,4ff75389c89f8f7b9f990100,baseball field,baseball field,-122.711147,45.578976,baseball field,disabled access restroom,disabled access picnic area,paths : paved,picnic site : reservable,picnic tables,playground,soccer field,softball field,soccer,tennis court,volleyball court,tennis court :  lighted,splash pad,picnic shelter,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE Cesar E Chavez Blvd & Stark St,31.13,Laurelhurst Park,224,SE,0,1909,97214,4ff75389c89f8f7b9f0d0200,basketball court,disabled access play area,-122.626157,45.521077,disabled access restroom,disabled access picnic area,dog off-leash area,historical site,paths : paved,paths : unpaved,picnic site : reservable,picnic tables,playground,,soccer field,statue or public art,tennis court,horseshoe pit,volleyball court,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NW 25th Ave & Raleigh St,5.39,Wallace Park,839,CC/NW,0,1920,97210,4ff75389c89f8f7b9f7b0200,basketball court,disabled access play area,-122.703871,45.533258,disabled access restroom,disabled access picnic area,dog off-leash area,paths : paved,picnic site : reservable,picnic tables,playground,soccer field,softball field,,statue or public art,tennis court,horseshoe pit,picnic shelter,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW Patton Rd & Old Orchard Rd,5.3,Portland Heights Park,523,SW,0,1945,97201,4ff75389c89f8f7b9f470200,basketball court,disabled access play area,-122.708084,45.504202,disabled access restroom,paths : paved,paths : unpaved,picnic tables,playground,soccer field,softball field,tennis court,tennis court :  lighted,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
8219 NE Glisan St,0,Montavilla Community Center & Pool,1119,SE,0,1930,97220,4ff75389c89f8f7b9fba0200,basketball court : indoor,community center,-122.578376,45.526907,gymnasium,kitchen : reservable,meeting room : reservable,party room : reservable,swimming pool : outdoor,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
3229 NW Pittock Dr,0,Pittock Mansion,1127,NW,0,1964,97210,4ff75389c89f8f7b9fc00200,gift shop,historical site,-122.716266,45.525195,museum,paths : paved,picnic tables,statue or public art,tours : guided,trails : hiking,visitor attraction,vista point,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 82nd Ave & Glisan St,9.46,Montavilla Park,268,NE,0,1921,97220,4ff75389c89f8f7b9f270200,disabled access play area,disabled access restroom,-122.57803,45.527815,disabled access picnic area,paths : paved,paths : unpaved,picnic site : reservable,picnic tables,playground,soccer field,softball field,tennis court,,picnic shelter,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW 45th Ave & Vermont St,90.65,Gabriel Park,136,SW,0,1950,97219,4ff75389c89f8f7b9fda0100,baseball field,basketball court,-122.719804,45.473031,disabled access play area,disabled access restroom,disabled access picnic area,dog off-leash area,paths : paved,paths : unpaved,picnic site : reservable,picnic tables,playground,,skatepark,soccer field,softball field,tennis court,volleyball court,tennis court :  lighted,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
68 SW Miles St,0,Fulton Park Community Center,134,SW,0,1941,97219,4ff75389c89f8f7b9fd80100,basketball court : indoor,community center,-122.678945,45.470966,gymnasium,kitchen : reservable,meeting room : reservable,stage : indoor,,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
700 N Rosa Parks Way,16.27,Peninsula Park,507,N,0,1909,97217,4ff75389c89f8f7b9f400200,basketball court,disabled access restroom,-122.67359,45.568158,disabled access picnic area,fountain,public garden,paths : paved,picnic site : reservable,picnic tables,playground,rose garden,soccer field,,softball field,stage,statue or public art,tennis court,wedding site : reservable,horseshoe pit,tennis court :  lighted,splash pad,picnic shelter,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 13th Ave & Dekum St,7.58,Woodlawn Park,865,NE,0,1975,97211,4ff75389c89f8f7b9f8b0200,basketball court,disabled access play area,-122.653579,45.572825,disabled access restroom,paths : paved,picnic tables,playground,softball field,stage,statue or public art,splash pad,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 117th Ave & Knott St,12.39,Knott Park,220,OE,0,1986,97220,4ff75389c89f8f7b9f0a0200,disabled access play area,disabled access restroom,-122.544808,45.540661,paths : paved,paths : unpaved,picnic tables,playground,soccer field,softball field,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 7th Ave & Fremont St,16.26,Irving Park,195,NE,0,1920,97212,4ff75389c89f8f7b9ff60100,baseball field,basketball court,-122.656689,45.547083,disabled access restroom,dog off-leash area,paths : paved,picnic site : reservable,picnic tables,playground,soccer field,softball field,tennis court,,horseshoe pit,volleyball court,tennis court :  lighted,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW Council Crest Dr,43.51,Council Crest Park,24,SW,0,1937,97201,4ff75389c89f8f7b9f9e0100,dog off-leash area,paths : paved,-122.707926,45.498861,paths : unpaved,picnic tables,statue or public art,vista point,wedding site : reservable,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SW 2nd Ave & Woods St,3.24,Lair Hill Park,222,CC/NW,0,1927,97201,4ff75389c89f8f7b9f0c0200,disabled access play area,paths : paved,-122.680531,45.501629,picnic tables,playground,statue or public art,tennis court,tennis court :  lighted,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
NE 6th Ave & Humboldt St,3,King School Park,217,NE,0,1979,97211,4ff75389c89f8f7b9f070200,basketball court,paths : paved,-122.659988,45.557229,paths : unpaved,picnic tables,playground,soccer field,softball field,tennis court,track,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
4000 SW Fairview Blvd,321.04,Hoyt Arboretum,189,CC/NW,0,1922,97221,4ff75389c89f8f7b9ff30100,disabled access restroom,disabled access picnic area,-122.716734,45.514781,gift shop,natural area,paths : unpaved,picnic site : reservable,trails : hiking,visitor attraction,wedding site : reservable,arboretum,picnic shelter,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
400 SW Kingston Ave,0,Washington Park - International Rose Test Garden,1113,CC/NW,0,1917,97210,4ff75389c89f8f7b9fb70200,fountain,public garden,-122.705357,45.519259,gift shop,paths : paved,rose garden,statue or public art,tours : guided,visitor attraction,vista point,wedding site : reservable,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
N Bryant St & Delaware Ave,8.69,Arbor Lodge Park,52,N,0,1940,97217,4ff75389c89f8f7b9fae0100,disabled access play area,disabled access restroom,-122.693782,45.572655,dog off-leash area,paths : paved,picnic tables,playground,soccer field,softball field,statue or public art,tennis court,horseshoe pit,,tennis court :  lighted,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
N Geneva Ave & Fessenden St,10.72,Northgate Park,451,N,0,1940,97203,4ff75389c89f8f7b9f350200,baseball field,disabled access play area,-122.725822,45.590305,disabled access restroom,paths : paved,picnic tables,playground,soccer field,softball field,tennis court,tennis court :  lighted,splash pad,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
SE 118th Ave & Raymond St,5.94,Raymond Park,561,OE,0,1993,97266,4ff75389c89f8f7b9f4e0200,basketball court,disabled access play area,-122.542845,45.486433,paths : paved,picnic tables,playground,horseshoe pit,splash pad,,,,,,,,,,,,,,,Fri May 15 2015 16:34:02 GMT+0000 (UTC),Fri May 15 2015 16:34:02 GMT+0000 (UTC)
