stationid_start,stationid_end,starttime,traveltime,_created_at,_updated_at
200210,104082,2015-05-01 00:08:16,591,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,102082,2015-05-01 00:08:16,346,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101008,101021,2015-05-01 00:08:45,58,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:08:48,113,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200205,200206,2015-05-01 00:08:49,125,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,200210,2015-05-01 00:09:29,1819,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,200210,2015-05-01 00:09:29,469,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,102082,2015-05-01 00:09:29,228,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101077,2015-05-01 00:09:43,143,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200003,200004,2015-05-01 00:10:03,187,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:10:30,124,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103082,105082,2015-05-01 00:10:32,131,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,200210,2015-05-01 00:10:47,232,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200004,200005,2015-05-01 00:11:28,130,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101054,2015-05-01 00:11:43,60,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101042,101077,2015-05-01 00:11:43,206,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,200209,2015-05-01 00:11:51,643,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,104082,2015-05-01 00:12:29,264,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,103082,2015-05-01 00:12:29,452,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101054,101077,2015-05-01 00:12:43,146,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,200209,2015-05-01 00:12:51,1842,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
103082,104082,2015-05-01 00:13:13,91,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,200210,2015-05-01 00:13:17,241,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:13:27,122,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,103052,2015-05-01 00:13:31,242,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101033,2015-05-01 00:13:31,90,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101042,2015-05-01 00:13:31,161,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
104082,102082,2015-05-01 00:13:32,195,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101021,101033,2015-05-01 00:13:59,88,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,104082,2015-05-01 00:14:02,922,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,104082,2015-05-01 00:14:02,245,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,103082,2015-05-01 00:14:02,753,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
102082,103082,2015-05-01 00:14:02,369,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200210,102082,2015-05-01 00:14:53,189,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101033,101042,2015-05-01 00:15:01,71,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:15:09,142,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101033,2015-05-01 00:15:20,211,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101054,2015-05-01 00:15:20,80,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
101077,101042,2015-05-01 00:15:20,133,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:15:26,129,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
200005,200004,2015-05-01 00:15:38,159,Fri May 15 2015 16:15:42 GMT+0000 (UTC),Fri May 15 2015 16:15:42 GMT+0000 (UTC)
