dt_pst,nitric_oxide total,sulfur_dioxide total,_created_at,_updated_at
2015-02-22 02:55:00-08,0.43358466,-0.33236399,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:00:00-08,0.27607933,-0.330964,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:05:00-08,0.34559134,-0.20748466,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:10:00-08,0.23345333,-0.231264,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:15:00-08,0.18046667,-0.26957467,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:20:00-08,0.08287067,-0.25303733,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:25:00-08,0.13426867,-0.18945134,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:40:00-08,0.119746,-0.35347334,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:30:00-08,0.169302,-0.42317599,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:35:00-08,0.177304,-0.29827666,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:45:00-08,0.0024339999,-0.46737534,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:50:00-08,-0.020322001,-0.44232666,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 03:55:00-08,0.021786667,-0.23783933,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 04:35:00-08,0.027799333,-0.30828533,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 05:15:00-08,-0.011302667,-0.45291799,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 06:00:00-08,0.18311533,0.0123,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 06:35:00-08,0.448304,0.43208,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 07:25:00-08,0.57922536,0.24970467,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 08:00:00-08,1.3225141,0.598342,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 08:40:00-08,1.0198194,0.274468,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 09:20:00-08,1.5551733,0.61337,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 10:00:00-08,1.1522833,0.49050933,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
2015-02-22 10:50:00-08,1.1522694,0.42820999,Tue Apr 14 2015 15:19:22 GMT+0000 (UTC),Tue Apr 14 2015 15:19:22 GMT+0000 (UTC)
